"strain","freq","mic","n","dose","run"
"b1",0,1,2,34,1
"b2",16734035509459.8,10,2,34,1
"b1",0,1,2,34,2
"b2",16731496142595.2,10,2,34,2
"b1",0,1,2,34,3
"b2",16733689168636.6,10,2,34,3
"b1",0,1,2,34,4
"b2",16732073312976.6,10,2,34,4
"b1",0,1,2,34,5
"b2",16732381099616.1,10,2,34,5
"b1",0,1,2,34,6
"b2",16730230725420.1,10,2,34,6
"b1",0,1,2,34,7
"b2",16732193466552.1,10,2,34,7
"b1",0,1,2,34,8
"b2",16732668431509.3,10,2,34,8
"b1",0,1,2,34,9
"b2",16733517085131.7,10,2,34,9
"b1",0,1,2,34,10
"b2",16731979986593.7,10,2,34,10
"b1",0,1,2,35,1
"b2",16671041502814.2,10,2,35,1
"b1",0,1,2,35,2
"b2",16670999435187.5,10,2,35,2
"b1",0,1,2,35,3
"b2",16675247468016.8,10,2,35,3
"b1",0,1,2,35,4
"b2",16673771124072.5,10,2,35,4
"b1",0,1,2,35,5
"b2",16670881934439.9,10,2,35,5
"b1",0,1,2,35,6
"b2",16674829577490.6,10,2,35,6
"b1",0,1,2,35,7
"b2",16673936446227.3,10,2,35,7
"b1",0,1,2,35,8
"b2",16672251811586.5,10,2,35,8
"b1",0,1,2,35,9
